email,event,source,region
billetterie@vidy.ch,Stephan Eicher - François Gremaud | Seul en scène,https://vd.leprogramme.ch/theatre/stephan-eicher-francois-gremaud-seul-en-scene/lausanne/vidy-theatre-lausanne/,Valais
centresportif@nendaz.org,Ice disco Nendaz,https://www.nendaz.ch/fr/P91048/ice-disco,Valais
chateau-morges@vd.ch,"Exposition temporaire Top Secret""""",https://www.vaud.ch/tourisme/tous-les-evenements/exposition-temporaire-top-secret,Valais
cindy@nendazfreeride.ch,Girls Powder,https://www.nendaz.ch/fr/P153906/girls-powder,Valais
contact@redpigsfestival.ch,Red Pigs Festival,https://www.myswitzerland.com/fr-ch/decouvrir/manifestations/red-pigs-festival/,Valais
culture@gland.ch,Cie Jolia | Il était une fois le violon,https://vd.leprogramme.ch/spectacle-pour-enfant-famille/cie-jolia-il-etait-une-fois-le-violon-2/gland/theatre-de-grand-champ/spectacle-enfants/,Valais
culture@morges.ch,Fête de la danse à Morges,https://www.myswitzerland.com/fr-ch/decouvrir/manifestations/fete-de-la-danse-a-morges/,Valais
durable@prilly.ch,Septième art,https://www.tempslibre.ch/vaud/spectacles/432878-la-toile-du-mois-pour-le-climat,Vaud
evenements@portesdusoleil.com,FESTIVAL ROCK THE PISTES 2026,https://www.valais.ch/fr/evenements/festival-rock-the-pistes-2026,Valais
festival@sipiano.com,Soirée clavecin | Lionel Party,https://vd.leprogramme.ch/concerts/soiree-clavecin-lionel-party/saint-legier/eglise-de-la-chiesaz/,Valais
fmac@ville-ge.chsite,VideoDatabase - 1ère Carte blanche : Éléonore Bernard,geneve.ch,Genève
fondation@auborddeleau.ch,Festival Week-end au bord de l'eau,https://www.valais.ch/fr/evenements/19-festival-week-end-au-bord-de-l-eau,Valais
grandprix@swiss-ski.ch,Grand Prix Migros,https://www.nendaz.ch/fr/P76646/grand-prix-migros,Valais
grimentz@anniviers.ch,Rando'clette,https://www.valais.ch/fr/evenements/rando-clette,Valais
hello@hedonistica.ch,Atelier Boissons fermentées,https://infomaniak.events/fr-ch/loisirs/30042026-atelier-du-terroir-apprenez-a-creer-vos-propres-boissons-fermentees-avec-melanie-vouillamoz-et-johanna-dayer/9e5e965f-2824-4682-b41e-2744613db5da/event/1573217,Valais
hepia@hesge.chsite,L'eau du Léman – des glaciers aux Bains des Pâquis,geneve.ch,Genève
hotel@grand-chalet.ch,Les After Work du Grand Chalet,https://www.vaud.ch/tourisme/tous-les-evenements/les-after-work-du-grand-chalet,Vaud
infaillible@la-potagere.ch,Big Big Horse Party : Nerami + The Revox + King Automatic,https://agenda.culturevalais.ch/fr/event/show/41725,Valais
info.bge@ville-ge.chsite,Étude des écritures anciennes,geneve.ch,Genève
info@5continents.ch,Festival Les 5 Continents,https://www.valais.ch/fr/evenements/festival-les-5-continents,Valais
info@aigle-tourisme.ch,Les After Work du Grand Chalet,https://www.vaud.ch/tourisme/tous-les-evenements/les-after-work-du-grand-chalet,Valais
info@aletsch-halbmarathon.ch,Aletsch Halbmarathon,https://www.valais.ch/fr/evenements/aletsch-halbmarathon-weekend,Valais
info@antigel.ch,Antigel Festival 2026,confirmé,Genève
info@arcenciel-siviez.ch,Descente aux flambeaux Siviez,https://www.nendaz.ch/fr/P76645/descente-aux-flambeaux,Valais
info@beausobre.ch,Léopold Lemarchand | Premier spectacle,https://vd.leprogramme.ch/theatre/leopold-lemarchand-premier-spectacle/morges/theatre-de-beausobre/morges-sous-rire-2026,Valais
info@bfrancoise.ch,Festival de la Bâtie 2026,confirmé,Genève
info@boldormirabaud.ch,Bol d'Or Mirabaud 2026,confirmé,Genève
info@caribana.ch,Caribana Festival,https://www.myswitzerland.com/fr-ch/decouvrir/manifestations/caribana-festival/,Valais
info@carougealrue.ch,Carouge à la Rue 2026,confirmé,Genève
info@champeryfilmfestival.ch,Champéry Film Festival,https://www.tempslibre.ch/valais/festivals/430485-champ-ry-film-festival,Valais
info@crans-montana.ch,Am Stram Gram Festival Crans-Montana,https://www.crans-montana.ch/en/?idcmt=Partenaire_Event_5bebb618909c05205ddf983c94cc1c46,Valais
info@cret-berard.ch,Beaux-Arts,https://www.tempslibre.ch/vaud/expositions/447974-contemplations-par-pierre-abraham-rochat,Vaud
info@cultureontour.ch,Spectacle Les Prototypes de Geppetto,https://www.nendaz.ch/fr/P205437/spectacle-les-prototypes-de-geppetto,Valais
info@culturevalais.ch,Double D – Live au Pink,https://agenda.culturevalais.ch/fr/event/show/41999,Valais
info@escalade.ch,Course de l'Escalade 2026,confirmé,Genève
info@festivalcite.ch,Festival de la Cité,https://www.myswitzerland.com/fr-ch/decouvrir/manifestations/festival-de-la-cite/,Valais
info@fetedelamusique.ch,Fête de la Musique Genève 2026,confirmé,Genève
info@fetedelatulipe.ch,Fête de la Tulipe,https://www.myswitzerland.com/fr-ch/decouvrir/manifestations/fete-de-la-tulipe/,Valais
info@fetesdegeneve.ch,Fêtes de Genève 2026,confirmé,Genève
info@genevaclassics.ch,Geneva Classics 2026,confirmé,Genève
info@genevelux.ch,Geneva Lux - Festival des Lumières 2026,confirmé,Genève
info@genevemarathon.org,Marathon de Genève 2026,confirmé,Genève
info@gianadda.ch,Saison musicale 25/26,https://agenda.culturevalais.ch/fr/event/show/38842,Valais
info@giff.ch,GIFF - Geneva International Film Festival 2026,confirmé,Genève
info@gims.swiss,Salon International de l'Automobile de Genève 2026,confirmé,Genève
info@inventions-geneva.ch,Salon International des Inventions de Genève 2026,confirmé,Genève
info@jardin-des-vins.ch,Jardin des vins,https://www.valais.ch/fr/evenements/jardin-des-vins,Valais
info@lakeparade.ch,Lake Parade Genève 2026,confirmé,Genève
info@lesmosses.ch,Les After Work du Grand Chalet,https://www.vaud.ch/tourisme/tous-les-evenements/les-after-work-du-grand-chalet,Valais
info@leysin-tourisme.ch,Les After Work du Grand Chalet,https://www.vaud.ch/tourisme/tous-les-evenements/les-after-work-du-grand-chalet,Valais
info@literaturfestival.ch,Festival int. de littérature,https://www.valais.ch/fr/evenements/festival-int-de-litterature,Valais
info@livemusic.ch,Sion sous les étoiles,https://www.valais.ch/fr/evenements/sion-sous-les-etoiles,Valais
info@maisondelariviere.ch,Un poisson comment ça marche ?,https://www.vaud.ch/tourisme/tous-les-evenements/un-poisson-comment-ca-marche,Vaud
info@maxi-rires.ch,Maxi-Rires Festival,https://www.valais.ch/fr/evenements/maxi-rires-festival,Valais
info@mjf.ch,Montreux Jazz Festival,https://www.myswitzerland.com/fr-ch/decouvrir/manifestations/montreux-jazz-festival/,Valais
info@morges-tourisme.ch,"Exposition temporaire Top Secret""""",https://www.vaud.ch/tourisme/tous-les-evenements/exposition-temporaire-top-secret,Valais
info@myvalleedejoux.ch,Chalets de Noël,https://www.vaud.ch/tourisme/tous-les-evenements/chalets-de-noel,Valais
info@nendaz.ch,Pâques en folie à Nendaz,https://www.nendaz.ch/fr/P76852/paques-en-folie-a-nendaz,Valais
info@nuitdesmusees.ch,Nuit des Musées Genève 2026,confirmé,Genève
info@nvrm.ch,Les Folies de Tortin,https://www.nendaz.ch/fr/P89194/les-folies-de-tortin,Valais
info@omegaeuropeanmasters.com,Omega European Masters Golf,https://www.crans-montana.ch/en/?idcmt=Partenaire_Event_1e7b23404967470b6fa1d1ce2011ae10,Valais
info@operaimperatrice.ch,"Ottone, re di Germania - Handel | Constance Larrieu",https://vd.leprogramme.ch/concerts/ottone-re-di-germania-handel-constance-larrieu/payerne/abbatiale-de-payerne/,Valais
info@orientalp.ch,World Dance Festival Orient'alp,https://www.myswitzerland.com/fr-ch/decouvrir/manifestations/world-dance-festival-orientalp/,Valais
info@ovronnaz.ch,Randonnaz le village disparu,https://www.ovronnaz.ch/en/agenda/#randonnaz-le-village-disparu-2026-03-05,Valais
info@paleo.ch,Paléo Festival,https://www.myswitzerland.com/fr-ch/decouvrir/manifestations/paleo-festival/,Valais
info@pays-denhaut.ch,Soirée fondue et luge - Cabane des Monts Chevreuils,https://www.vaud.ch/tourisme/tous-les-evenements/soiree-fondue-et-luge-cabane-des-monts-chevreuils,Valais
info@promochamoson.ch,Fête de la Taille à Chamoson,https://www.valais.ch/fr/evenements/fete-de-la-taille-a-chamoson,Valais
info@rd-cycling.com,Marathon des Terroirs du Valais,https://www.valais.ch/fr/evenements/marathon-des-terroirs-du-valais-bcvs-2026,Valais
info@saillontourisme.ch,Fête de l'asperge 2026,https://www.valais.ch/fr/evenements/fete-de-l-asperge-2026,Valais
info@salondulivre.ch,Salon du Livre de Genève 2026,confirmé,Genève
info@sauvageraie.ch,Bonvillars & Truffe : Cours de cavage et cuisine à la Sauvageraie,https://www.vaud.ch/tourisme/tous-les-evenements/bonvillars-truffe-cours-de-cavage-et-cuisine-a-la-sauvageraie,Valais
info@schonegg.ch,Fondue Gondola Experience Zermatt,https://zermatt.swiss/en/p/fondue-gondola-experience-01tVj00000E0lDNIAZ,Valais
info@swisswinevalais.ch,Les caves ouvertes du Valais,https://www.valais.ch/fr/evenements/les-caves-ouvertes-du-valais-celebrent-leur-20e-edition,Valais
info@theatreneuf.ch,Les brumes de Manchester Monthey,https://www.tempslibre.ch/valais/spectacles/447999-th-tre-les-brumes-de-manchester,Valais
info@triathlondegeneve.ch,Triathlon de Genève 2026,confirmé,Genève
info@truffesuisse.ch,Bonvillars & Truffe : Cours de cavage et cuisine à la Sauvageraie,https://www.vaud.ch/tourisme/tous-les-evenements/bonvillars-truffe-cours-de-cavage-et-cuisine-a-la-sauvageraie,Valais
info@vaud-promotion.ch,"Exposition temporaire Top Secret""""",https://www.vaud.ch/tourisme/tous-les-evenements/exposition-temporaire-top-secret,Valais
info@verbierfestival.com,Verbier Festival,https://www.valais.ch/fr/evenements/verbier-festival,Valais
info@village-du-livre.ch,33e Fête du Livre St-Pierre-de-Clages,https://www.tempslibre.ch/valais/manifestations/442770-33e-f-te-du-livre-de-st-pierre-de-clages,Valais
info@ville-geneve.ch,Musiques en Été 2026,confirmé,Genève
info@watchesandwonders.com,Watches and Wonders Geneva 2026,confirmé,Genève
info@wellnessonlygeneva.ch,Pilates face aux œuvres : Une respiration en milieu de journée,geneve.ch,Genève
info@zermatt-unplugged.ch,Zermatt Unplugged 2026,https://www.valais.ch/fr/evenements/zermatt-unplugged-2026,Valais
info@zermatt.swiss,Zermatt Unplugged 2026,https://zermatt.swiss/en/discover-experience/events/top-events,Valais
info@zeughauskultur.ch,Monopoly,https://agenda.culturevalais.ch/fr/event/show/38587,Valais
lausanne213152570art.brut@lausanne.ch,La Collection de l'Art Brut au Festival de la Cité,https://www.myswitzerland.com/fr-ch/decouvrir/manifestations/la-collection-de-lart-brut-au-festival-de-la-cite/,Valais
lorenz@festify.ch,Floating Sculptures AR Trail Zermatt,https://zermatt.swiss/en/p/zermatts-floating-sculptures-switzerlands-first-augmented-reality-trail-01tVj00000DaFQtIAN,Valais
mcba@plateforme10.ch,Projection commentée – Festival Histoire et Cité 2026,https://www.myswitzerland.com/fr-ch/decouvrir/manifestations/projection-commentee-festival-histoire-et-cite-2026/,Valais
melanie@nindart.ch,Leur chant d'automne,https://www.nendaz.ch/fr/P209240/leur-chant-d-automne,Valais
misshdutrem@icloud.com,Love Mantra Charabia - Hélène du Trémolet,https://www.tempslibre.ch/vaud/expositions/448434-love-mantra-charabia-h-l-ne-du-tr-molet,Valais
montschevreuils1698@gmail.com,Soirée fondue et luge - Cabane des Monts Chevreuils,https://www.vaud.ch/tourisme/tous-les-evenements/soiree-fondue-et-luge-cabane-des-monts-chevreuils,Valais
mudac@plateforme10.ch,Projection commentée – Festival Histoire et Cité 2026,https://www.myswitzerland.com/fr-ch/decouvrir/manifestations/projection-commentee-festival-histoire-et-cite-2026/,Valais
opendays@cern.ch,CERN Open Days 2026,confirmé,Genève
publics.meg@geneve.chavec,Le musée dans la vie des tout-petits: Journée de formation pour les professionnel-le-s de la petite enfance.,geneve.ch,Genève
sc-museescantonaux@admin.vs.ch,En février « J’peux pas; j’ai musée ! » : la visite guidée,https://agenda.culturevalais.ch/fr/event/show/41481,Valais
shop@beausobre.ch,Un succès fou | Sébastien Castro - José Paul,https://vd.leprogramme.ch/theatre/un-succes-fou-sebastien-castro-jose-paul/morges/theatre-de-beausobre/,Valais
stadtpolizei@brig-glis.ch,Marché de Pâques,https://www.valais.ch/fr/evenements/marche-de-paques,Valais
syinfo@amarantegeneve.chsite,Antigone à la nuit – Jardin Botanique,geneve.ch,Genève
tourisme@adnv.ch,Bonvillars & Truffe : Cours de cavage et cuisine à la Sauvageraie,https://www.vaud.ch/tourisme/tous-les-evenements/bonvillars-truffe-cours-de-cavage-et-cuisine-a-la-sauvageraie,Valais
valaissportorganisation@gmail.com,Cyclosportive & Running du Valais,https://www.valais.ch/fr/evenements/cyclosportive-running-du-valais,Valais
vecontact@projeth107.chsite,"Les rendez-vous publics du Projet H107, lieu pour la création en arts vivants",geneve.ch,Genève
veinfo@redcrossmuseum.chsite,Angélica Serech Pach'un Q'ijul (Temps entrelacés - Deep time),geneve.ch,Genève
vereinsekretariat@salgesch.ch,Printemps du vin,https://www.valais.ch/fr/evenements/printemps-du-vin,Valais
wildstrubel@service.utmb.world,Wildstrubel by UTMB,https://www.crans-montana.ch/en/?idcmt=Partenaire_Event_2b53c00f4f0b62e354fd3501039202d2,Valais
